sample_name,pop,Wing,Tail,Tarsus,HeadLength,Bill_length_posterior,Bill_depth_anterior,Bill_width_anterior
AMB55,Ambae,68,51,21.52,34.17,13.12,4,3.54
AMB56,Ambae,66,51,21.66,32.6,12.64,3.82,3.58
AMB57,Ambae,64,48,20.82,32.08,12.32,3.88,3.32
ABY58,Ambrym,64.5,48,20.64,33.02,13.18,3.78,3.54
ABY42,Ambrym,67,53.5,22.18,34.12,13.04,3.8,3.42
ABY47,Ambrym,61.5,55,20.96,32.66,13,4.05,3.46
ABY44,Ambrym,65.5,48,19.92,32.02,12.25,3.86,3.38
ABY54,Ambrym,63.5,50.5,20.22,31.75,11.76,3.86,2.05
CI13,Chatham_Island,63,48,17.65,30,10.7,3.2,2.9
CI20,Chatham_Island,69.5,49,18.35,30.1,10.45,3.3,3.1
CI10,Chatham_Island,62,46,17.45,29.9,10.4,2.8,3
CI2,Chatham_Island,63,48,18.65,30.1,10.4,3.25,3
CI11,Chatham_Island,61,44,17.85,30.2,10.35,3.15,3.05
CI19,Chatham_Island,64,50,18.1,29.8,10.35,3,3.05
CI7,Chatham_Island,60.5,45,18.5,29.5,10.35,2.75,2.6
CI21,Chatham_Island,65,47,17.45,29.2,10.3,3.1,3.1
CI1,Chatham_Island,65,48,17.7,29.4,10,3,3
CI12,Chatham_Island,63,45.5,17.6,29.1,9.9,2.95,2.9
CI18,Chatham_Island,64,50,18.1,28.3,9.9,3.1,3
CI5,Chatham_Island,65,47.5,18.45,29.5,9.9,3,2.8
CI9,Chatham_Island,59,47.5,18.25,28.8,9.8,3,2.9
CI16,Chatham_Island,65,47,17.8,29.1,9.7,2.95,2.8
CI14,Chatham_Island,62.5,48.5,17.5,28.85,9.65,2.85,2.65
CI17,Chatham_Island,62,48,17.7,28.95,9.65,2.85,2.85
EF28,Efate,67.5,54,20.76,32.52,12.54,3.84,3.32
EF42,Efate,64,47,19.25,32.08,12.44,3.86,3.32
EF37,Efate,64.5,50,20.68,32.04,12.42,3.88,3.38
EF31,Efate,65,47,20.52,32.29,12.34,3.86,3.48
EF43,Efate,65,47,19.98,32,12.27,3.63,3.21
EF44,Efate,65,49,20.58,31.78,12.05,4.03,3.12
ABP154,Efate,68,52.81,20.74,32.26,11.78,4.03,3.32
EF38,Efate,61.5,NA,19.92,31.6,11.78,3.76,3.24
ABP167,Efate,67,52.04,20.1,32.12,11.76,3.61,3.3
ABP151,Efate,68,55,20.11,32.39,11.7,3.82,3.52
ABP152,Efate,67,52.52,20.37,32.49,11.68,3.94,3.52
ABP160,Efate,67,52.88,20.28,32.61,11.68,3.52,3.46
ABP169,Efate,68,51.4,20.3,31.58,11.67,3.61,3.33
ABP158,Efate,65,55.48,20.89,33.04,11.61,3.92,3.56
ABP157,Efate,67,51.28,18.88,31.86,11.54,3.6,3.47
ABP171,Efate,67,54.61,20.27,31.53,11.34,3.87,3.26
ABP159,Efate,66,51.68,19.32,30.98,11.32,3.72,3.14
ABP156,Efate,66,52.9,20.01,31.84,11.31,3.86,3.8
ABP175,Efate,66,52.66,20.26,31.5,11.18,3.94,3.56
ABP155,Efate,65,50,21.11,31.82,11.08,3.72,3.4
ABP162,Efate,65,50.82,20.38,31.54,10.92,3.84,3.42
SAN11,Espiritu_Santo,60,46,19.64,31.44,12.7,3.89,3.48
SAN17,Espiritu_Santo,63,48,20.11,32.18,12.64,4.07,3.42
SAN74,Espiritu_Santo,60.5,44,20.23,31.94,12.5,3.72,2.96
SAN7,Espiritu_Santo,62,43,20.2,32.06,12.43,3.64,3.46
SAN85,Espiritu_Santo,61,42,19.84,32.26,12.3,3.95,3.84
SAN88,Espiritu_Santo,62.5,43.5,20.18,31.99,12.2,3.59,3.26
SAN64,Espiritu_Santo,59.5,44.5,19.82,31.76,12.13,3.15,3.28
SAN34,Espiritu_Santo,62,46.5,18.73,31.59,12.11,3.74,3.33
SAN9,Espiritu_Santo,59.5,45,19.96,31.68,12.09,3.68,3.33
SAN16,Espiritu_Santo,63,46.5,19.35,32.01,12.04,3.92,3.55
SAN70,Espiritu_Santo,61,44,19.5,30.94,12.03,4.1,3.48
SAN42,Espiritu_Santo,61,45,20.06,31.35,12.01,4.1,3.4
SAN52,Espiritu_Santo,62.5,48,19.76,32.1,12.01,3.78,3.5
SAN49,Espiritu_Santo,62,44,20.99,32.17,11.97,3.96,3.21
SAN18,Espiritu_Santo,59.5,47,19.5,31.87,11.9,3.79,3.3
SAN55,Espiritu_Santo,61,43.5,18.62,31.62,11.86,3.67,3.34
SAN47,Espiritu_Santo,63,47,19.6,31.39,11.52,3.7,3.5
SAN76,Espiritu_Santo,62,43,18.76,30.8,11.5,3.9,4.43
SAN57,Espiritu_Santo,57,42,17.64,30.72,11.43,3.68,3.23
SAN12,Espiritu_Santo,62,45,20,30.76,11.38,3.94,3.33
SAN2,Espiritu_Santo,63.5,46.5,20.36,31.78,11.03,3.92,3.65
RAI18,French_Polynesia,61,48,17.8,28.4,11.4,3.3,2.75
RAI20,French_Polynesia,65,51,17.6,29.55,11.2,3.3,2.8
RAI3,French_Polynesia,63,48,18,28.6,11.2,3,2.5
MOO25,French_Polynesia,63,48,18.2,29.2,11,3.3,3
MOO46,French_Polynesia,61,47,17.3,29,10.9,3.1,2.9
TAH53,French_Polynesia,59.5,44.5,17,28.6,10.8,3.1,2.75
MOO56,French_Polynesia,61,45,17.9,29,10.7,3.2,2.9
RAI15,French_Polynesia,60,45,18,29.4,10.7,3.5,2.7
HUA6,French_Polynesia,61.5,48,16.6,28.3,10.6,3.1,2.6
HUA8,French_Polynesia,63,46,17.5,28.4,10.6,2.9,2.9
MAU22,French_Polynesia,63,47,17.8,28.9,10.6,3.15,2.8
MAU26,French_Polynesia,63,45,18.25,28.1,10.6,3.1,2.6
MAU12,French_Polynesia,63,48,17.5,28,10.55,3,2.6
MOO53,French_Polynesia,62,48,16.9,28.5,10.5,3.4,2.7
HUA2,French_Polynesia,62,48,16.6,27,10.4,3.2,2.8
RAI7,French_Polynesia,63,48,18.2,29.4,10.4,3.4,2.8
HUA4,French_Polynesia,63,47.5,17.2,28.6,10.3,3.4,2.8
